"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"10006","ANCHORAGE POLICE DEPARTMENT EMPLOYEE ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",66.6666666666667,16.6666666666667,"#000052AF","#0000A8AF",6000
"1076","GENERAL COMMUNICATION INC / GCI","Telecom Services & Equipment","Communications & Electronics","Telecommunications",16.6666666666667,83.3333333333333,"#AD0000AF","#AD0000AF",3000
"10985469","ALASKA TRUCKING ASSOCIATION","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",1500
"16860808","CONSTRUCTION TRADES PAC","General Contractors","Construction","Builders associations",50,0,"#000000AF","#0000FFAF",2000
"18771","ALASKA STATE MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",25,75,"#800000AF","#800000AF",4000
"19092","ALASKA CORRECTIONAL OFFICERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",50,0,"#000000AF","#0000FFAF",2000
"19187","ALASKA PUBLIC EMPLOYEES ASSOCATION","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",4000
"19431","ALASKA PROFESSIONAL FIRE FIGHTERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",69.2307692307692,0,"#000061AF","#0000FFAF",3250
"19624","ELECTRICAL WORKERS LOCAL 1547","General Trade Unions","Labor","Electrical workers/IBEW",61.1111111111111,11.1111111111111,"#000038AF","#0000C2AF",9000
"19732","TEAMSTERS LOCAL 959","Transportation Unions","Labor","Teamsters unions",50,25,"#000000AF","#00007FAF",4000
"19968","LABORERS LOCAL 341","General Trade Unions","Labor","Construction unions",66.6666666666667,16.6666666666667,"#000052AF","#0000A8AF",6000
"20084","ALASKA LABORERS LOCAL 942","General Trade Unions","Labor","Construction unions",44.4444444444444,11.1111111111111,"#1F0000AF","#0000C2AF",4500
"20127","ALASKA STATE AFL-CIO","General Trade Unions","Labor","Labor unions",60,20,"#000033AF","#000099AF",5000
"20587","PLUMBERS & STEAMFITTERS LOCAL 367","General Trade Unions","Labor","Construction unions",60,20,"#000033AF","#000099AF",5000
"20589","PLUMBERS & PIPEFITTERS LOCAL 375","General Trade Unions","Labor","Construction unions",33.3333333333333,33.3333333333333,"#570000AF","#000052AF",3000
"20746","CARPENTERS & JOINERS LOCAL 1281","General Trade Unions","Labor","Construction unions",60,0,"#000033AF","#0000FFAF",2500
"21044","ASSOCIATED BUILDERS & CONTRACTORS ALASKA CHAPTER","General Contractors","Construction","Builders associations",0,100,"#FF0000AF","#FF0000AF",2500
