"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"10098","ARKANSAS BLUE CROSS BLUE SHIELD","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",51.7241379310345,48.2758620689655,"#000005AF","#000005AF",14500
"10099","ARKANSAS REPUBLICAN HOUSE LEADERSHIP","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",13500
"10560","BRENT STEVENSON ASSOCIATES","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",21.4285714285714,78.5714285714286,"#940000AF","#940000AF",3500
"1087","GENERAL MOTORS","Automotive","Transportation","Auto manufacturers",22.2222222222222,77.7777777777778,"#8F0000AF","#8F0000AF",2250
"11571","D B H MANAGEMENT CONSULTANTS","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",20.1971659030601,79.8028340969399,"#990000AF","#990000AF",70588.27
"12867","HMS HOLDINGS CORP","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",50,50,"#000000AF","#000000AF",1000
"13106","IMPACT MANAGEMENT GROUP","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",22.5315063715172,77.4684936284828,"#8F0000AF","#8F0000AF",4128.53
"1457","KOCH INDUSTRIES","Chemical & Related Manufacturing","General Business","Chemicals",40,60,"#330000AF","#330000AF",5000
"15885161","COMMERCE IN ACTION","Business Associations","General Business","Small business organizations",0,100,"#FF0000AF","#FF0000AF",5550.64
"16126525","ARKANSAS RICE FEDERATION","Crop Production & Basic Processing","Agriculture","Other commodities (including rice, peanuts, honey)",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",6000
"1669","MCDONALDS LOCAL OWNERS OPERATORS OF ARKANSAS","Food & Beverage","General Business","Restaurants & drinking establishments",8.33333333333333,91.6666666666667,"#D60000AF","#D60000AF",6000
"1702","MERCK & CO","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",3000
"18070","ARKANSAS FEDERATION OF REPUBLICAN WOMEN","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",600
"18865","ARKANSAS HEALTH CARE ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",0,100,"#FF0000AF","#FF0000AF",27800
"1917","NUCOR CORP","Steel","Energy & Natural Resources","Steel manufacturing",36.3057324840764,63.6942675159236,"#470000AF","#470000AF",15700
"20199","ARKANSAS EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",1500
"2034","PFIZER","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",50,50,"#000000AF","#000000AF",1200
"204034","SHELTER INSURANCE","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",42.8571428571429,57.1428571428571,"#290000AF","#290000AF",7000
"20491403","RDRA PROPERTIES","Uncoded","Uncoded","Uncoded",19.2307692307692,80.7692307692308,"#9E0000AF","#9E0000AF",2600
"21179","AMERICAN COUNCIL OF ENGINEERING COMPANIES OF ARKANSAS","Construction Services","Construction","Engineering, architecture & construction management services",12.5,87.5,"#C20000AF","#C20000AF",2000
"2610991","LKQ CORP","Automotive","Transportation","Truck & automotive parts and accessories",18.1818181818182,81.8181818181818,"#A30000AF","#A30000AF",5500
"26354331","GARVER PAC","Construction Services","Construction","Engineering, architecture & construction management services",50,50,"#000000AF","#000000AF",1000
"26357224","ARKANSAS NATURAL RESOURCES","Other/Single Issue Groups","Ideology/Single Issue","Other single-issue or ideological groups",0,100,"#FF0000AF","#FF0000AF",10800
"26357225","AR PEOPLE FIRST","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",5400
"26357226","ARKANSAS MANUFACTURING FIRST","Other/Single Issue Groups","Ideology/Single Issue","Other single-issue or ideological groups",0,100,"#FF0000AF","#FF0000AF",5400
"26357431","AR BAR ASSOCIATION","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",1100
"26361926","ARKANSAS TRADE FIRST","Other/Single Issue Groups","Ideology/Single Issue","Other single-issue or ideological groups",0,100,"#FF0000AF","#FF0000AF",8100
"26361928","ARKANSAS BUSINESS SERVICES","Other/Single Issue Groups","Ideology/Single Issue","Other single-issue or ideological groups",0,100,"#FF0000AF","#FF0000AF",5400
"26737810","APAC ARKANSAS","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",3000
"2675","UNION PACIFIC RAILROAD","Railroads","Energy & Natural Resources","Railroads",24.8031496062992,75.1968503937008,"#850000AF","#850000AF",19050
"2692","UNITED HEALTHCARE SERVICES","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",0,100,"#FF0000AF","#FF0000AF",1750
"2695","ALTRIA","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",0,100,"#FF0000AF","#FF0000AF",4000
"2772","WAL-MART","Retail Sales","General Business","Department, variety & convenience stores",16.0237388724036,83.9762611275964,"#AD0000AF","#AD0000AF",33700
"28136258","SEBASTIAN COUNTY REPUBLICAN COMMITTEE","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",1000
"28137285","ACPA","Uncoded","Uncoded","Uncoded",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",1500
"28208566","HOMECARE ASSOCIATION OF AR","Uncoded","Uncoded","Uncoded",50,50,"#000000AF","#000000AF",400
"2880","WINDSTREAM COMMUNICATIONS","Telecom Services & Equipment","Communications & Electronics","Telecommunications",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",3000
"39430918","CAPITOL ADVISORS GROUP","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",4200
"39765753","COMMITTEE FOR ADVANCEMENT OF RURAL DEVELOPMENT","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",500
"40581168","AR I-STRUCTURE","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",6600
