"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"10021","ANESTHESIA SERVICE MEDICAL GROUP / CALIFORNIA ANESTHESIA ASSOCIATES","Health Professionals","Health","Other physician specialists",25,75,"#800000AF","#800000AF",8000
"10041","ANTHEM INC","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",56.8306010928962,43.1693989071038,"#00001FAF","#00001FAF",45750
"10104","ARNS LAW FIRM","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",7000
"10128","ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS","Public Sector Unions","Labor","Police & fire fighters unions and associations",88.1235154394299,11.8764845605701,"#0000C2AF","#0000C2AF",21050
"10129","AMERICAN ASSOCIATION OF PUBLISHERS","Printing & Publishing","Communications & Electronics","Book, newspaper & periodical publishing",50,50,"#000000AF","#000000AF",4000
"10130","ASSOCIATION OF CALIFORNIA COMMUNITY COLLEGE ADMINISTRATORS","Education","Government Agencies/Education/Other","Technical, business & vocational schools and services",100,0,"#0000FFAF","#0000FFAF",2500
"102568","GOLDSCHMID SILVER & SPINDEL","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",750
"10358","BERRY PETROLEUM","Oil & Gas","Energy & Natural Resources","Oil & gas",53.1914893617021,46.8085106382979,"#00000FAF","#00000FAF",4700
"10395","SAN DIEGO BIOTECHNOLOGY","Uncoded","Uncoded","Uncoded",24.2424242424242,75.7575757575758,"#850000AF","#850000AF",1650
"10450","BLUE SHIELD OF CALIFORNIA","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",57.5757575757576,42.4242424242424,"#000024AF","#000024AF",16500
"10670","BURRTEC WASTE INDUSTRIES","Waste Management","Energy & Natural Resources","Waste management",82.6086956521739,17.3913043478261,"#0000A3AF","#0000A3AF",5750
"10709","CALIFORNIA ACADEMY OF OPHTHALMOLOGY","Health Professionals","Health","Optometrists & ophthalmologists",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",3000
"10713","CALIFORNIA ALARM ASSOCIATION","Business Services","General Business","Security services",100,0,"#0000FFAF","#0000FFAF",3500
"10716","CALIFORNIANS ALLIED FOR PATIENT PROTECTION","Health & Welfare Policy","Ideology/Single Issue","Health & welfare policy",35,65,"#4D0000AF","#4D0000AF",10000
"10717","CALIFORNIA AMBULANCE ASSOCIATION","Health Services","Health","Health care services",50,50,"#000000AF","#000000AF",2000
"10722","CALIFORNIA ASSOCIATION FOR HEALTH SERVICES AT HOME","Health Services","Health","Home care services",100,0,"#0000FFAF","#0000FFAF",2000
"10723","CALIFORNIA ASSOCIATION OF NURSE PRACTITIONERS","Health Professionals","Health","Nurses",100,0,"#0000FFAF","#0000FFAF",6250
"10724","CALIFORNIA ASSOCIATION FOR THE GIFTED","Education","Government Agencies/Education/Other","Education",60,40,"#000033AF","#000033AF",2500
"10725","CALIFORNIA ASSOCIATION OF COLLECTORS","Miscellaneous Finance","Finance, Insurance & Real Estate","Credit reporting services & collection agencies",87.2340425531915,12.7659574468085,"#0000BDAF","#0000BDAF",11750
"10726","CALIFORNIA ASSOCIATION OF COMMUNITY MANAGERS","Civil Servants/Public Officials","Government Agencies/Education/Other","Municipal & county government organizations",88.5714285714286,11.4285714285714,"#0000C2AF","#0000C2AF",8750
"10727","CALIFORNIA ASSOCIATION OF HEALTH PLANS","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",0,100,"#FF0000AF","#FF0000AF",1500
"10728","CALIFORNIA ASSOCIATION OF INDUSTRIAL BANKS","Banks & Lending Institutions","Finance, Insurance & Real Estate","Banks & lending institutions",100,0,"#0000FFAF","#0000FFAF",4750
"10730","CALIFORNIA ASSOCIATION OF MORTGAGE BROKERS","Real Estate","Finance, Insurance & Real Estate","Mortgage bankers & brokers",75,25,"#00007FAF","#00007FAF",8000
"10731","CALIFORNIA ASSOCIATION OF ORAL & MAXILLOFACIAL SURGEONS","Health Professionals","Health","Dentists",42.8571428571429,57.1428571428571,"#290000AF","#290000AF",12250
"10733","CALIFORNIA ASSOCIATION OF PHYSICIAN GROUPS","Health Professionals","Health","Health professionals",46.875,53.125,"#140000AF","#140000AF",8000
"10734","CALIFORNIA ASSOCIATION OF PROFESSIONAL LIABILITY INSURERS","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",64.8648648648649,35.1351351351351,"#000047AF","#000047AF",18500
"10737","CALIFORNIA ASSOCIATION OF WINEGRAPE GROWERS","Beer, Wine & Liquor","General Business","Wine & distilled spirits manufacturing",56.25,43.75,"#00001FAF","#00001FAF",8000
"10743","CALIFORNIA CATTLEMENS ASSOCIATION","Livestock","Agriculture","Livestock",75,25,"#00007FAF","#00007FAF",2000
"10749","CALIFORNIA CORRECTIONAL SUPERVISORS ORGANIZATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",89.7435897435898,10.2564102564103,"#0000C7AF","#0000C7AF",9750
"10751","CALIFORNIA COMPENSATION DEFENSE ATTORNEYS ASSOCIATION","Civil Servants/Public Officials","Government Agencies/Education/Other","Courts & justice system",77.0114942528736,22.9885057471264,"#00008AAF","#00008AAF",21750
"10753","CALIFORNIA DENTAL HYGIENISTS ASSOCIATION","Health Professionals","Health","Dentists",80.7726825932732,19.2273174067268,"#000099AF","#000099AF",23399
"10754","CALIFORNIA DERMATOLOGY SOCIETY","Health Professionals","Health","Other physician specialists",79.0575916230366,20.9424083769633,"#000094AF","#000094AF",19100
"10761","CALIFORNIA GRAIN & FEED ASSOCIATION","Agricultural Services & Products","Agriculture","Farm organizations & cooperatives",76.3090999116329,23.6909000883671,"#000085AF","#000085AF",4221.03
