"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"10051","APARTMENT ASSOCIATION OF METRO DENVER","Real Estate","Finance, Insurance & Real Estate","Building operators & managers",47.4025974025974,52.5974025974026,"#0F0000AF","#0F0000AF",15400
"1045","FREEPORT-MCMORAN COPPER & GOLD","Mining","Energy & Natural Resources","Metal mining & processing",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",600
"10456","BLUEFLOWER FUND","Liberal Policy Organization","Ideology/Single Issue","Democratic-based groups (but not official party committees) and generic liberal/progressive ones",100,0,"#0000FFAF","#0000FFAF",6000
"1087","GENERAL MOTORS","Automotive","Transportation","Auto manufacturers",57.1428571428571,42.8571428571429,"#000024AF","#000024AF",2800
"11026638","PLUMBERS & PIPEFITTERS LOCAL 58","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",9700
"11233","COLORADO BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",45,55,"#1A0000AF","#1F0000AF",4000
"11239","COLORADO CONCERN","Business Associations","General Business","Pro-business organizations",22.2222222222222,77.7777777777778,"#8F0000AF","#8F0000AF",3600
"11240","COLORADO DAIRY FARMERS","Dairy","Agriculture","Dairy farmers & wholesale and retail milk, cheese and ice cream dealers",38.8888888888889,61.1111111111111,"#3D0000AF","#3D0000AF",3600
"11241","COLORADO DENTAL ASSOCIATION","Health Professionals","Health","Dentists",65.5172413793103,34.4827586206897,"#00004DAF","#00004DAF",8700
"11245","COLORADO OPTOMETRIC ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",65.034965034965,34.965034965035,"#00004DAF","#00004DAF",7150
"11649","DEMOCRATS FOR EDUCATION REFORM","Public Education Policy","Ideology/Single Issue","Public School Advocates",100,0,"#0000FFAF","#0000FFAF",1200
"11997785","COLORADO ASSOCIATION OF WHEAT GROWERS","Crop Production & Basic Processing","Agriculture","Wheat, corn, soybeans & cash grain",35.2941176470588,64.7058823529412,"#4D0000AF","#4D0000AF",850
"11998123","FERRANDINO LEADERSHIP FUND","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",300
"12003127","COLORADO ACADEMY OF FAMILY PHYSICIANS","Health Professionals","Health","Physicians",61.9047619047619,38.0952380952381,"#000038AF","#000038AF",2100
"12003246","ADVANCED STATE LEADERS CMTE","Employer Listed/Category Unknown","Uncoded","Employer listed but category unknown",100,0,"#0000FFAF","#0000FFAF",800
"12564489","NATIONAL ASSOCIATION FOR GUN RIGHTS","Gun Control","Ideology/Single Issue","Anti-gun control",0,100,"#FF0000AF","#FF0000AF",1200
"1258","HOLLAND & HART","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",200
"12608560","GAY LESBIAN BISEXUAL & TRANSGENDER DEMOCRATS & ALLIES OF JEFFERSON COUNTY GLBT","Gay/Lesbian Rights & Issues","Ideology/Single Issue","Gay & lesbian rights and issues",100,0,"#0000FFAF","#0000FFAF",4400
"1307","GREATER MONTANA INDEPENDENT ELECTRICAL CONTRACTORS","Special Trade Contractors","Construction","Electrical contractors",44.4444444444444,55.5555555555556,"#1F0000AF","#1F0000AF",900
"132","AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",0,100,"#FF0000AF","#FF0000AF",3850
"13794575","ANGELA WILLIAMS LEADERSHIP FUND","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",3600
"145","AMERICAN INSURANCE ASSOCIATION","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",77.7777777777778,22.2222222222222,"#00008AAF","#00008AAF",1800
