"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"10051","APARTMENT ASSOCIATION OF METRO DENVER","Real Estate","Finance, Insurance & Real Estate","Building operators & managers",23.7113402061856,76.2886597938144,"#8A0000AF","#8A0000AF",38800
"1020","UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION / UFCW","General Trade Unions","Labor","Retail trade unions",100,0,"#0000FFAF","#0000FFAF",14500
"1045","FREEPORT-MCMORAN COPPER & GOLD","Mining","Energy & Natural Resources","Metal mining & processing",42.1052631578947,57.8947368421053,"#290000AF","#290000AF",1900
"10456","BLUEFLOWER FUND","Liberal Policy Organization","Ideology/Single Issue","Democratic-based groups (but not official party committees) and generic liberal/progressive ones",100,0,"#0000FFAF","#0000FFAF",7050
"1087","GENERAL MOTORS","Automotive","Transportation","Auto manufacturers",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",1200
"11026638","PLUMBERS & PIPEFITTERS LOCAL 58","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",20250
"11233","COLORADO BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",35.042735042735,64.957264957265,"#4D0000AF","#4D0000AF",11700
"11239","COLORADO CONCERN","Business Associations","General Business","Pro-business organizations",45.4545454545455,54.5454545454545,"#1A0000AF","#1A0000AF",2200
"11240","COLORADO DAIRY FARMERS","Dairy","Agriculture","Dairy farmers & wholesale and retail milk, cheese and ice cream dealers",22.2222222222222,77.7777777777778,"#8F0000AF","#8F0000AF",1800
"11241","COLORADO DENTAL ASSOCIATION","Health Professionals","Health","Dentists",68.1818181818182,31.8181818181818,"#00005CAF","#00005CAF",22000
"11243","COLORADO LEGISLATIVE SERVICES","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",16.6666666666667,83.3333333333333,"#AD0000AF","#AD0000AF",1200
"11245","COLORADO OPTOMETRIC ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",50,50,"#000000AF","#000000AF",12500
"11649","DEMOCRATS FOR EDUCATION REFORM","Public Education Policy","Ideology/Single Issue","Public School Advocates",100,0,"#0000FFAF","#0000FFAF",1450
"12003127","COLORADO ACADEMY OF FAMILY PHYSICIANS","Health Professionals","Health","Physicians",77.0491803278689,22.9508196721311,"#00008AAF","#00008AAF",6100
"12003246","ADVANCED STATE LEADERS CMTE","Employer Listed/Category Unknown","Uncoded","Employer listed but category unknown",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",1200
"1258","HOLLAND & HART","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",49.1228070175439,50.8771929824561,"#050000AF","#050000AF",2850
"132","AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",22.9166666666667,77.0833333333333,"#8F0000AF","#8F0000AF",16800
"13794575","ANGELA WILLIAMS LEADERSHIP FUND","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",2700
"145","AMERICAN INSURANCE ASSOCIATION","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",32.6530612244898,67.3469387755102,"#5C0000AF","#5C0000AF",4900
"15825587","ROSENTHAL MAJORITY FUND","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",6050
"15825826","REAGAN CLUB","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",1600
"15825914","DOMINICK MORENO CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",6600
"16144","STAND FOR CHILDREN","Public Education Policy","Ideology/Single Issue","School Choice Advocates",100,0,"#0000FFAF","#0000FFAF",4200
"16203549","ANCHOR POINT FOR PROGRESS","Employer Listed/Category Unknown","Uncoded","Employer listed but category unknown",100,0,"#0000FFAF","#0000FFAF",1050
"16203860","DICKEY LEE HULLINGHORST LEADERSHIP FUND","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",7700
"16204907","GROW FREEDOM GROW PROSPERITY","Employer Listed/Category Unknown","Uncoded","Employer listed but category unknown",0,100,"#FF0000AF","#FF0000AF",2800
"16204910","LIBERTY LEADERSHIP PAC","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",800
"16204956","RURAL LEADERSHIP PAC","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",1600
"16204978","STEADY HAND FUND","Securities & Investment","Finance, Insurance & Real Estate","Securities, commodities & investment",100,0,"#0000FFAF","#0000FFAF",700
"16205011","BRIANPAC","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",5400
"16276193","COLORADO VOTERS FOR ANIMALS","Animal Rights","Ideology/Single Issue","Animal rights",94.1176470588235,5.88235294117647,"#0000E0AF","#0000E0AF",5100
"16277738","LANDGRAF PAC","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",2800
"16277750","PDC ENERGY","Oil & Gas","Energy & Natural Resources","Oil & gas",25.974025974026,74.025974025974,"#800000AF","#800000AF",7700
"16284090","DURAN FOR COLORADO LEADERSHIP FUND","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",13550
"16284097","DAN NORDBERG POLITICAL CMTE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",4500
"1675","MCKESSON CORP","Health Services","Health","Health care services",50,50,"#000000AF","#000000AF",800
"16868992","COLORADO CLEANTECH PAC","Miscellaneous Energy","Energy & Natural Resources","Alternative energy production & services",52.8301886792453,47.1698113207547,"#00000AAF","#00000AAF",2650
"16869547","COLORADO RURAL PAC","Agricultural Services & Products","Agriculture","Farm organizations & cooperatives",96,4,"#0000EBAF","#0000EBAF",2500
"16869555","LAND TITLE ASSOC OF CO PAC (LTAC PAC)","Real Estate","Finance, Insurance & Real Estate","Title insurance & title abstract offices",53.6231884057971,46.3768115942029,"#00000FAF","#00000FAF",3450
"16869557","COLORADOAG POLITICAL COMMITTEE","Farm Bureau","Agriculture","Farm Bureau/affiliated organizations & PACs",21.5686274509804,78.4313725490196,"#940000AF","#940000AF",5100
"16869566","COLORADO ASSOCIATION OF NATUROPATHIC DOCTORS SMALL DONOR COMMITTEE (COANDSDC)","Health Professionals","Health","Other non-physician health practitioners",100,0,"#0000FFAF","#0000FFAF",600
"1702684","COLORADO SOCIETY OF CPAS","Accountants","Finance, Insurance & Real Estate","Accountants",35.8974358974359,64.1025641025641,"#4D0000AF","#4D0000AF",7800
"170434","ACTBLUE","Liberal Policy Organization","Ideology/Single Issue","Democratic-based groups (but not official party committees) and generic liberal/progressive ones",100,0,"#0000FFAF","#0000FFAF",397.37
"17112","WHITING PETROLEUM CORP","Oil & Gas","Energy & Natural Resources","Independent oil & gas producers",0,100,"#FF0000AF","#FF0000AF",2400
"17322","COLORADO OIL & GAS ASSOCIATION","Oil & Gas","Energy & Natural Resources","Oil & gas",14.2857142857143,85.7142857142857,"#B80000AF","#B80000AF",2800
"17635905","GEORGIA LOCKER","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",75
"18850","PLANNED PARENTHOOD OF THE ROCKY MOUNTAINS","Health Services","Health","Health care services",100,0,"#0000FFAF","#0000FFAF",17025
"19204","COLORADO FEDERATION OF TEACHERS","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",16000
"19450","COLORADO STATE FIRE FIGHTERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",94.4539736992567,5.54602630074328,"#0000E0AF","#0000E0AF",87450
"198","ANADARKO PETROLEUM","Oil & Gas","Energy & Natural Resources","Oil & gas",26.6666666666667,73.3333333333333,"#7A0000AF","#7A0000AF",6000
"20133","COLORADO AFL-CIO","General Trade Unions","Labor","Labor unions",100,0,"#0000FFAF","#0000FFAF",12925
"20203","BOULDER VALLEY EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",12200
"20204","BRIGHTON EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",1350
"20210","COLORADO EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",95.1022469073466,4.89775309265337,"#0000E5AF","#0000E5AF",99025
"20211","COLORADO SPRINGS EDUCATION ASSOCIATION","Education","Government Agencies/Education/Other","Education",100,0,"#0000FFAF","#0000FFAF",7038.27
"20228","JEFFERSON COUNTY EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",14550
"20262","POUDRE EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",4000
"20417","SERVICE EMPLOYEES LOCAL 105","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",41096
"20466","ROCKY MOUNTAIN DISTRICT COUNCIL OF SHEET METAL WORKERS","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",14000
"20652871","PABON LEADERSHIP FUND","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",2900
"20652979","MCCANN LEADERSHIP PAC","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",1043
"20653449","COLORADO 6 PAC","Beer, Wine & Liquor","General Business","Beer",60,40,"#000033AF","#000033AF",2000
"20654437","FOOTE PAC","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",6150
"20814572","FUND FOR EDUCATIONAL PROGRESS","Other/Single Issue Groups","Ideology/Single Issue","Other single-issue or ideological groups",34.0136054421769,65.9863945578231,"#520000AF","#520000AF",7350
"20831231","WINE & SPIRITS WHOLESALERS OF COLORADO INC","Uncoded","Uncoded","Uncoded",42.8571428571429,57.1428571428571,"#290000AF","#290000AF",1400
"20839","SOUTHWEST REGIONAL COUNCIL OF CARPENTERS","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",14000
"20991","COLORADO PHYSICAL THERAPY ASSOCIATION","Health Professionals","Health","Other non-physician health practitioners",25,75,"#800000AF","#800000AF",400
"21005","COLORADO SOCIETY OF ANESTHESIOLOGISTS","Health Professionals","Health","Other physician specialists",100,0,"#0000FFAF","#0000FFAF",900
"21069","BUILDING OWNERS & MANAGERS ASSOCIATION OF DENVER METRO","Real Estate","Finance, Insurance & Real Estate","Building operators & managers",44.4444444444444,55.5555555555556,"#1F0000AF","#1F0000AF",900
"21180","AMERICAN COUNCIL OF ENGINEERING COMPANIES OF COLORADO","Construction Services","Construction","Engineering, architecture & construction management services",32.6086956521739,67.3913043478261,"#5C0000AF","#5C0000AF",9200
"21430","COLORADO HEALTH CARE ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",78.9473684210526,21.0526315789474,"#00008FAF","#00008FAF",3800
"2584163","PROPERTY CASUALTY INSURERS ASSOCIATION OF AMERICA","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",5400
"259","AT&T","Telecom Services & Equipment","Communications & Electronics","Telecommunications",36.3636363636364,63.6363636363636,"#470000AF","#470000AF",13200
"2610991","LKQ CORP","Automotive","Transportation","Truck & automotive parts and accessories",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",1200
"26394916","CITIZENS FOR RESPONSIBLE CANNABIS REFORM","Drug Policy","Ideology/Single Issue","Drug Legalization Advocates",42.8571428571429,57.1428571428571,"#290000AF","#290000AF",350
"26436601","K C BECKER LEADERSHIP FUND","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",9325
"26438238","COLORADO GOOD GOVERNMENT LEAGUE, SDC (CGGL)","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",572.38
"26439418","MENTAL HEALTH PROFESSIONALS UNITED","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",1700
"26447327","JENISE MAY LEADERSHIP FUND","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",1400
"26452703","POLLYPAC","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",9000
"26465013","COLORADO BUSINESS INTEREST GROUP","Uncoded","Uncoded","Uncoded",37.5,62.5,"#420000AF","#420000AF",1600
"266","ATMOS ENERGY","Oil & Gas","Energy & Natural Resources","Oil & gas",43.0769230769231,56.9230769230769,"#240000AF","#240000AF",6500
"2692","UNITED HEALTHCARE SERVICES","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",40.625,59.375,"#330000AF","#330000AF",6400
"279084","MEDNAX SERVICES","Health Professionals","Health","Physicians",59.5744680851064,40.4255319148936,"#00002EAF","#00002EAF",4700
"29257858","LUNDEEN LEADERSHIP FUND","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",4800
"29271599","GARNETT LEADERSHIP FUND","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",5884.2
"29271653","MILLIE HAMNER LEADERSHIP FUND","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",4800
"29271838","GOTTA HAVE FAITH","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",6958.02
"29272658","CONSERVATIVE WOMEN SPEAK","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",525
"29272659","RURAL VALUES PAC","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",4000
"29276354","COLORADO EYEPAC","Uncoded","Uncoded","Uncoded",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",3600
"29276412","FARMERS EMPLOYEE & AGENT SMALL DONOR COMMITTEE","Uncoded","Uncoded","Uncoded",25,75,"#800000AF","#800000AF",1600
"29278364","NEW BELGIUM BREWING COMPANY, INC. - COLORADO POLITICAL ACTION COMMITTEE","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",1441.16
"29282280","COLORADO PROPANE GAS PAC","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",800
"29285236","WEST SLOPE COLORADO OIL & GAS ASSOCIATION","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",800
"29285339","TRANSMOUNTAIN PAC","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",6400
"29291020","NEW ENERGY HORIZONS POLITICAL COMMITTEE","Uncoded","Uncoded","Uncoded",20,80,"#990000AF","#9E0000AF",500
"31613995","COLORADO BIOSCIENCE","Uncoded","Uncoded","Uncoded",50,50,"#000000AF","#000000AF",2600
"31691137","WPX ENERGY","Uncoded","Uncoded","Uncoded",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",1200
"3250","BP NORTH AMERICA","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",25,75,"#800000AF","#800000AF",1600
"372","BLACK HILLS CORP","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",29.6551724137931,70.3448275862069,"#6B0000AF","#6B0000AF",14500
"40613439","HOME CARE","Uncoded","Uncoded","Uncoded",48.936170212766,51.063829787234,"#0A0000AF","#0A0000AF",2350
"40614346","COLORADO PSYCHOLOGICAL ASSOCIATION","Uncoded","Uncoded","Uncoded",60,40,"#000033AF","#000033AF",1000
"4120","NATIONAL ASSOCIATION OF INDUSTRIAL & OFFICE PROPERTIES","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",22,78,"#8F0000AF","#940000AF",10000
"4122","NATIONAL FEDERATION OF INDEPENDENT BUSINESS / NFIB","Business Associations","General Business","Small business organizations",0,100,"#FF0000AF","#FF0000AF",4800
"435","BNSF RAILWAY","Railroads","Energy & Natural Resources","Railroads",43.5483870967742,56.4516129032258,"#240000AF","#240000AF",6200
"43554923","COLORADO PETROLEUM MARKETERS ASSOCIATION","Uncoded","Uncoded","Uncoded",34.2857142857143,65.7142857142857,"#520000AF","#520000AF",3500
"43554976","WILSONPAC","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",4000
"4688","THE DOCTORS CO","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",35.8974358974359,64.1025641025641,"#4D0000AF","#4D0000AF",15600
"4808","COLORADO REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",42448.32
"4811","COLORADO DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",162095.2
"5073","COLORADO CREDIT UNION LEAGUE","Credit Unions","Finance, Insurance & Real Estate","Credit unions",58.8235294117647,41.1764705882353,"#000029AF","#000029AF",3400
"541","CENTURYLINK","Telecom Services & Equipment","Communications & Electronics","Telecommunications",37.5,62.5,"#420000AF","#420000AF",9600
"5986272","ADAMS COUNTY DEMOCRATIC CENTRAL CMTE OF COLORADO","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",2105
"5986279","LARIMER COUNTY DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",5581.42
"5986317","DENVER COUNTY DEMOCRATIC CENTRAL CMTE OF COLORADO","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",3250
"5987104","DEMOCRATIC WOMEN OF BOULDER COUNTY-SMALL DONOR CMTE (DWBC-SDC)","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",3550
"5992254","BOULDER COUNTY REPUBLICAN PARTY OF COLORADO","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1800
"5992507","FREMONT COUNTY REPUBLICAN CENTRAL CMTE OF COLORADO","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",700
"5992635","JEFFERSON COUNTY REPUBLICAN CENTRAL CMTE OF COLORADO","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",6000
"5992681","LARIMER COUNTY REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",7830
"5993499","PLUMBERS & PIPEFITTERS LOCAL 3","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",5000
"5993691","COLORADO ORAL & MAXILLOFACIAL SURGERY PAC","Health Professionals","Health","Dentists",100,0,"#0000FFAF","#0000FFAF",600
"5993721","COLORADO PRIVATE SCHOOL ASSOCIATION","Education","Government Agencies/Education/Other","Education",6.15384615384615,93.8461538461538,"#E00000AF","#E00000AF",3250
