"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"10080652","PAINTERS & ALLIED TRADES LOCAL 1791","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",4000
"10080660","HAWAII STATE FIRE FIGHTERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",5050
"10080689","YOUNG BROTHERS","Sea Transport","Transportation","Sea transport",100,0,"#0000FFAF","#0000FFAF",6650
"10080699","HAWAII OPERATING TRANSPORTERS","Trucking","Transportation","Trucking",100,0,"#0000FFAF","#0000FFAF",600
"10081009","HAWAIIAN ELECTRIC COMPANY","Electric Utilities","Energy & Natural Resources","Electric power utilities",100,0,"#0000FFAF","#0000FFAF",600
"10081092","ELEVATOR CONSTRUCTORS LOCAL 126","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",1250
"10081124","HAWAII AUTO DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",100,0,"#0000FFAF","#0000FFAF",3400
"10081194","HEALTHCARE ASSOCIATION OF HAWAII","Hospitals & Nursing Homes","Health","Nursing homes",100,0,"#0000FFAF","#0000FFAF",2791.36
"10081275","HAWAII DENTAL ASSOCIATION","Health Professionals","Health","Dentists",100,0,"#0000FFAF","#0000FFAF",1200
"10081310","SUBCONTRACTORS ASSOCIATION OF HAWAII","General Contractors","Construction","Builders associations",100,0,"#0000FFAF","#0000FFAF",1300
"10081311","HAWAII ROOFING CONTRACTORS ASSOCIATION","Special Trade Contractors","Construction","Special trade contractors",100,0,"#0000FFAF","#0000FFAF",750
"10081511","PATSY T MINK PAC","Abortion Policy","Ideology/Single Issue","Abortion policy, pro-choice",100,0,"#0000FFAF","#0000FFAF",18000
"10081561","CATTLEMENS ACTION LEGISLATIVE FUND","Livestock","Agriculture","Livestock",100,0,"#0000FFAF","#0000FFAF",950
"10083897","MAUI HOTEL & LODGING ASSOCIATION","Lodging & Tourism","General Business","Hotels & motels",100,0,"#0000FFAF","#0000FFAF",400
"10090543","OCEAN TOURISM COALITION","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",950
"10093621","CALABASH","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",627
"10108604","HAWAII COFFEE CO","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",1600
"10127550","KCOM CORPORATION","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",1000
"12115","FIRST HAWAIIAN BANK","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",100,0,"#0000FFAF","#0000FFAF",2500
"12320963","LBD COFFEE","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",4200
"12623","GROCERY MANUFACTURERS ASSOCIATION","Food Processing & Sales","Agriculture","Food & kindred products manufacturing",100,0,"#0000FFAF","#0000FFAF",2000
"12756","HAWAII MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",100,0,"#0000FFAF","#0000FFAF",8800
"15611557","THE KALAIMOKU GROUP LLC","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",800
"15935088","MILLERCOORS","Beer, Wine & Liquor","General Business","Beer",100,0,"#0000FFAF","#0000FFAF",1000
"16287618","HAWAII DENTAL ASSOCIATION HDPAC","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",5000
"16287657","KOUCHI FOR SENATE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",900
