"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"101","AMALGAMATED TRANSIT UNION UNIDENTIFIED","Transportation Unions","Labor","Transportation unions",100,0,"#0000FFAF","#0000FFAF",550
"10133","ASSOCIATION OF ILLINOIS ELECTRIC COOPERATIVES","Electric Utilities","Energy & Natural Resources","Rural electric cooperatives",26.0290556900726,73.9709443099274,"#7A0000AF","#7A0000AF",8260
"1018","FOLEY & LARDNER","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",25,75,"#800000AF","#800000AF",1000
"10186","B & D HOTEL CORP","Hospitals & Nursing Homes","Health","Drug & alcohol treatment hospitals",100,0,"#0000FFAF","#0000FFAF",4666.67
"1025","FORD MOTOR CO","Automotive","Transportation","Auto manufacturers",25,75,"#800000AF","#800000AF",5000
"10255","BARTON MANAGEMENT","Hospitals & Nursing Homes","Health","Nursing homes",91.8032786885246,8.19672131147541,"#0000D1AF","#0000D1AF",6100
"10351","BERNARDIN LOCHMUELLER & ASSOCIATES","Construction Services","Construction","Engineering, architecture & construction management services",100,0,"#0000FFAF","#0000FFAF",1500
"10408","BJC HEALTH SYSTEM","Hospitals & Nursing Homes","Health","Health care institutions",9.93071593533487,90.0692840646651,"#D10000AF","#D10000AF",10825
"1041","FRED WEBER INC","General Contractors","Construction","Public works, industrial & commercial construction",23.5294117647059,76.4705882352941,"#8A0000AF","#8A0000AF",6800
"1043","FREEBORN & PETERS","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",77.5229357798165,22.4770642201835,"#00008AAF","#00008AAF",10900
"1043349","BANTRY GROUP CORP","Health Services","Health","Health care services",0,100,"#FF0000AF","#FF0000AF",5450
"10458","BLUESTAR ENERGY SERVICES","Electric Utilities","Energy & Natural Resources","Electric power utilities",100,0,"#0000FFAF","#0000FFAF",1300
"1052810","CULLEN INC","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",750
"1061197","INTEGRIS","Hospitals & Nursing Homes","Health","Hospitals",100,0,"#0000FFAF","#0000FFAF",1500
"1069336","PAR SOLUTIONS LLC","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",95.7081545064378,4.29184549356223,"#0000E5AF","#0000E5AF",11650
"1071","GARDNER CARTON & DOUGLAS","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",90.2777777777778,9.72222222222222,"#0000CCAF","#0000CCAF",7200
