"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"10041","ANTHEM INC","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",6.42570281124498,93.574297188755,"#E00000AF","#E00000AF",12450
"10668028","(BLANK)","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",10490
"1084","GENERAL ELECTRIC","Miscellaneous Finance, Insurance & Real Estate","Finance, Insurance & Real Estate","Finance, insurance & real estate",0,100,"#FF0000AF","#FF0000AF",1550
"11017204","OUTDOOR ADVERTISING ASSOCIATION","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",500
"1116","GLAXOSMITHKLINE","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",15.7894736842105,84.2105263157895,"#B30000AF","#B30000AF",4750
"11410","COVANTA ENERGY","Miscellaneous Energy","Energy & Natural Resources","Alternative energy production & services",0,100,"#FF0000AF","#FF0000AF",400
"12689","HALL RENDER KILLIAN HEATH & LYMAN","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",14.8936170212766,85.1063829787234,"#B80000AF","#B80000AF",1175
"127","AMERICAN COUNCIL OF LIFE INSURERS","Insurance","Finance, Insurance & Real Estate","Life insurance",0,100,"#FF0000AF","#FF0000AF",500
"1309","INDIANAPOLIS COLTS","Recreation & Live Entertainment","General Business","Professional sports, arenas & related equipment and services",44.0217391304348,55.9782608695652,"#1F0000AF","#1F0000AF",3680
"13123","INDIANA ACADEMY OF OPHTHALMOLOGY","Health Professionals","Health","Optometrists & ophthalmologists",6.74157303370786,93.2584269662921,"#E00000AF","#E00000AF",4450
"13124","INDIANA AMUSEMENT & MUSIC OPERATORS ASSOCIATION","Recreation & Live Entertainment","General Business","Recreation & entertainment",7.2463768115942,92.7536231884058,"#DB0000AF","#DB0000AF",3450
"13125","INDIANA ASSOCIATION OF HEALTH PROVIDERS","Health Services","Health","HMOs",16.9811320754717,83.0188679245283,"#AD0000AF","#AD0000AF",5300
"13127","INDIANA BUILDERS ASSOCIATION","Home Builders","Construction","Residential construction",9.58164157474279,90.4183584252572,"#D10000AF","#D10000AF",20873.25
"13128","INDIANA CPA SOCIETY","Accountants","Finance, Insurance & Real Estate","Accountants",27.906976744186,72.0930232558139,"#750000AF","#750000AF",2150
"13131","INDIANA HARDWOOD LUMBERMENS ASSOCIATION","Building Materials & Equipment","Construction","Lumber and wood products & lumber yards",16,84,"#AD0000AF","#AD0000AF",1250
"13133","INDIANA LAND TITLE ASSOCIATION","Real Estate","Finance, Insurance & Real Estate","Title insurance & title abstract offices",7.20720720720721,92.7927927927928,"#DB0000AF","#DB0000AF",5550
"13136","INDIANA APARTMENT ASSOCIATION","Real Estate","Finance, Insurance & Real Estate","Building operators & managers",0,100,"#FF0000AF","#FF0000AF",600
"13137","INDIANA PETROLEUM MARKETERS & CONVENIENCE STORE ASSOCIATION","Oil & Gas","Energy & Natural Resources","Gasoline service stations",31.8407960199005,68.1592039800995,"#610000AF","#610000AF",5025
"13139","INDIANA SOCIETY OF ANESTHESIOLOGISTS","Health Professionals","Health","Other physician specialists",26.0869565217391,73.9130434782609,"#7A0000AF","#7A0000AF",3450
"13141","INDIANA STATE BAR ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",35.031847133758,64.968152866242,"#4D0000AF","#4D0000AF",7850
"13143","GREATER INDIANAPOLIS CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",0,100,"#FF0000AF","#FF0000AF",2000
