"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"10019","ANESTHESIA ASSOCIATES OF KANSAS CITY","Health Professionals","Health","Other physician specialists",0,100,"#FF0000AF","#FF0000AF",1200
"10041","ANTHEM INC","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",21.7391304347826,78.2608695652174,"#940000AF","#940000AF",1150
"10245740","MISSOURI FEDERATION OF TEACHERS","Public Sector Unions","Labor","Teachers unions",82.0689655172414,17.9310344827586,"#0000A3AF","#0000A3AF",3625
"1025","FORD MOTOR CO","Automotive","Transportation","Auto manufacturers",8.7248322147651,91.2751677852349,"#D60000AF","#D60000AF",7450
"10408","BJC HEALTH SYSTEM","Hospitals & Nursing Homes","Health","Health care institutions",30.7692307692308,69.2307692307692,"#660000AF","#660000AF",3900
"1041","FRED WEBER INC","General Contractors","Construction","Public works, industrial & commercial construction",14.2857142857143,85.7142857142857,"#B80000AF","#B80000AF",2100
"10435","BLUE CROSS BLUE SHEILD","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",22.4215246636771,77.5784753363229,"#8F0000AF","#8F0000AF",33450
"1066","GALLOP JOHNSON & NEUMAN","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",1750
"10668","BURNS & MCDONNELL","Construction Services","Construction","Engineering, architecture & construction management services",31.7073170731707,68.2926829268293,"#610000AF","#610000AF",10250
"1075727","METAL CONTAINER CORP","Beer, Wine & Liquor","General Business","Beer",67.5324675324675,32.4675324675325,"#000057AF","#000057AF",3850
"1087","GENERAL MOTORS","Automotive","Transportation","Auto manufacturers",37.0229007633588,62.9770992366412,"#420000AF","#420000AF",13100
"10936540","BLANK","Uncoded","Uncoded","Uncoded",51.8072289156626,48.1927710843374,"#000005AF","#000005AF",415
"1116","GLAXOSMITHKLINE","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",0,100,"#FF0000AF","#FF0000AF",10100
"115","AMERICAN CENTURY CO","Securities & Investment","Finance, Insurance & Real Estate","Securities, commodities & investment",17.8082191780822,82.1917808219178,"#A80000AF","#A80000AF",7300
"11653","DEMPSEY & KINGSLAND","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",39.5348837209302,30.2325581395349,"#380000AF","#000061AF",2150
"11724","SSM HEALTH CARE","Hospitals & Nursing Homes","Health","Hospitals",39.0243902439024,60.9756097560976,"#380000AF","#380000AF",4100
"1194","HARRAHS","Gambling & Casinos","General Business","Casinos, racetracks & gambling",48.6486486486487,51.3513513513513,"#0A0000AF","#0A0000AF",14800
"12121","FIRST STATE BANK","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",0,100,"#FF0000AF","#FF0000AF",750
"1213","HEALY LAW FIRM","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",80,20,"#000099AF","#000099AF",3250
"12289345","MO EYE","Uncoded","Uncoded","Uncoded",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",1950
