"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"12017","EXCELLENCE IN VOTING","Computer Equipment & Services","Communications & Electronics","Computer manufacture & services",0,100,"#FF0000AF","#FF0000AF",260
"12525","GOPAC","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",260
"1687","MONTANA DAKOTA UTILITIES","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",19.3548387096774,80.6451612903226,"#9E0000AF","#9E0000AF",775
"1739","UNITED MINE WORKERS OF AMERICA / UMWA","General Trade Unions","Labor","Mining unions",100,0,"#0000FFAF","#0000FFAF",230
"1854","NATIONAL RIFLE ASSOCIATION","Gun Control","Ideology/Single Issue","Anti-gun control",22.2222222222222,77.7777777777778,"#8F0000AF","#8F0000AF",585
"18889","MONTANA ASSOCIATION OF HEALTH CARE PROVIDERS","Hospitals & Nursing Homes","Health","Nursing homes",50,50,"#000000AF","#000000AF",750
"19054","MONTANA LIFE UNDERWRITERS","Insurance","Finance, Insurance & Real Estate","Life insurance",5.52486187845304,94.475138121547,"#E60000AF","#E60000AF",905
"19383","IRONWORKERS DISTRICT COUNCIL OF THE PACIFIC NORTHWEST","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",260
"19907","OPERATING ENGINEERS LOCAL 400","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",200
"20152","MONTANA STATE AFL-CIO","General Trade Unions","Labor","Labor unions",70,30,"#000066AF","#000066AF",1300
"20202","BILLINGS EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",80,20,"#000099AF","#000099AF",650
"20221","GREAT FALLS EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",330
"20244","MEA - MFT","Public Sector Unions","Labor","Teachers unions",50,50,"#000000AF","#000000AF",260
"2034","PFIZER","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",0,100,"#FF0000AF","#FF0000AF",1560
