"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"10008471","NORTH DAKOTA BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",18.1818181818182,81.8181818181818,"#A30000AF","#A30000AF",1650
"10012647","NORTH DAKOTA PETROLEUM MARKETERS ASSOCIATION","Oil & Gas","Energy & Natural Resources","Petroleum refining & marketing",41.6666666666667,58.3333333333333,"#2E0000AF","#2E0000AF",600
"10016364","ND CHIROPRACTIC ASSOCIATION","Health Professionals","Health","Chiropractors",50,50,"#000000AF","#000000AF",600
"10022196","HEALTH","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",750
"10022683","NORTH DAKOTA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate agents & managers",23.9988307512423,76.0011692487577,"#8A0000AF","#8A0000AF",10263
"11349","CONTINENTAL RESOURCES","Oil & Gas","Energy & Natural Resources","Independent oil & gas producers",26.6666666666667,73.3333333333333,"#7A0000AF","#7A0000AF",3750
"1396","JOHN DEERE & CO","Agricultural Services & Products","Agriculture","Farm machinery & equipment",20,80,"#990000AF","#9E0000AF",5000
"1625","MARATHON OIL","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",0,100,"#FF0000AF","#FF0000AF",5500
"16657654","INDEPENDENT COMMUNITY BANKS","Uncoded","Uncoded","Uncoded",58.4905660377358,41.5094339622642,"#000029AF","#000029AF",2650
"1687","MONTANA DAKOTA UTILITIES","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",16.3636363636364,83.6363636363636,"#AD0000AF","#AD0000AF",1375
"1758","MONSANTO","Agricultural Services & Products","Agriculture","Agricultural services & related industries",15.1515151515152,84.8484848484848,"#B30000AF","#B30000AF",4950
"18614","ASSOCIATED GENERAL CONTRACTORS OF NORTH DAKOTA","General Contractors","Construction","Builders associations",8.57142857142857,91.4285714285714,"#D60000AF","#D60000AF",3500
"18997","NORTH DAKOTA FARM BUREAU","Farm Bureau","Agriculture","Farm Bureau/affiliated organizations & PACs",9.52380952380952,90.4761904761905,"#D10000AF","#D10000AF",5250
"19588","BOILERMAKERS LOCAL 647","General Trade Unions","Labor","Construction unions",87.9518072289157,12.0481927710843,"#0000BDAF","#0000BDAF",4150
"19910","OPERATING ENGINEERS LOCAL 49","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",1000
"19999","LABORERS DISTRICT COUNCIL OF MINNESOTA & NORTH DAKOTA","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",4250
"21082","INDEPENDENT COMMUNITY BANKS OF NORTH DAKOTA","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",750
"24790925","TRUCKPAC NORTH DAKOTA","Uncoded","Uncoded","Uncoded",55.8823529411765,44.1176470588235,"#00001AAF","#00001AAF",1700
"26728880","MINNKOTA POWER ACTION COMMITTEE","Uncoded","Uncoded","Uncoded",76.4705882352941,23.5294117647059,"#000085AF","#000085AF",1700
"29412503","ND RURAL ELECTRIC","Uncoded","Uncoded","Uncoded",50,50,"#000000AF","#000000AF",3200
"29414217","HEALTHPAC","Uncoded","Uncoded","Uncoded",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",2250
"29415729","ND CREDIT UNION","Uncoded","Uncoded","Uncoded",43.9024390243902,56.0975609756098,"#240000AF","#240000AF",4100
"29415777","NDLTCA","Uncoded","Uncoded","Uncoded",53.5714285714286,46.4285714285714,"#00000FAF","#00000FAF",7000
"29415863","NORTH DAKOTA BANKERS ASSOCIATION-STATE","Uncoded","Uncoded","Uncoded",27.8481012658228,72.1518987341772,"#750000AF","#750000AF",3950
"29415867","NORTH DAKOTA CHIROPRACTIC","Uncoded","Uncoded","Uncoded",26.9230769230769,73.0769230769231,"#7A0000AF","#7A0000AF",2600
"29417120","UNITED POLITICAL ACTION COMMITTEE","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",4975
