"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"10052","HOUSING INDUSTRY FOR RESPONSIBLE GOVERNMENT","General Contractors","Construction","Builders associations",87.8378378378378,12.1621621621622,"#0000BDAF","#0000BDAF",3700
"1020","UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION / UFCW","General Trade Unions","Labor","Retail trade unions",100,0,"#0000FFAF","#0000FFAF",4410
"1034","FOUNDATION COAL","Mining","Energy & Natural Resources","Coal mining",0,100,"#FF0000AF","#FF0000AF",3500
"10389","BIG TENT PAC","Leadership PACs","Candidate Contributions","PACs operated by Republican members of Congress or prominent national Republicans",0,100,"#FF0000AF","#FF0000AF",1750
"10446","BLUE CROSS OF NORTHEASTERN PENNSYLVANIA","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",21.8068535825545,78.1931464174455,"#940000AF","#940000AF",16050
"10544","BRAVO GROUP","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",12.6147946311434,87.3852053688566,"#C20000AF","#C20000AF",5945.4
"1078617","AMERICAN BIKERS ACTING TO EDUCATE/ABATE OF MASSACHUSETTS","Miscellaneous Transport","Transportation","Motorcycles, snowmobiles & other motorized vehicles",51.7412935323383,48.2587064676617,"#000005AF","#000005AF",20100
"10815446","S&T BANK","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",1750
"10818692","PENNSYLVANIA","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",1250
"10824597","CHH","Uncoded","Uncoded","Uncoded",58.8235294117647,41.1764705882353,"#000029AF","#000029AF",6800
"1084","GENERAL ELECTRIC","Miscellaneous Finance, Insurance & Real Estate","Finance, Insurance & Real Estate","Finance, insurance & real estate",6.25,93.75,"#E00000AF","#E00000AF",8000
"10846","CAMPAIGN FOR PENNSYLVANIAS FUTURE","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",35000
"10867","CAPITAL BLUE CROSS","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",69.4444444444444,30.5555555555556,"#000061AF","#000061AF",1800
"1089","GENESEE & WYOMING","Railroads","Energy & Natural Resources","Railroads",0,100,"#FF0000AF","#FF0000AF",6077.32
"1091","GENESIS HEALTHCARE","Hospitals & Nursing Homes","Health","Nursing homes",21.7391304347826,78.2608695652174,"#940000AF","#940000AF",4600
"10936540","BLANK","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",2000
"1095","GENWORTH FINANCIAL","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",0,100,"#FF0000AF","#FF0000AF",4000
"10988","CENTRAL PENNSYLVANIANS FOR EFFECTIVE GOVERNMENT","Other/Single Issue Groups","Ideology/Single Issue","Other single-issue or ideological groups",91.6666666666667,8.33333333333333,"#0000D1AF","#0000D1AF",9000
"11005036","PHILADELPHIA TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",38.510101010101,61.489898989899,"#3D0000AF","#3D0000AF",158400
"11036","CHH PARTNERS","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",87.5,12.5,"#0000BDAF","#0000BDAF",8000
"11077","CITIZENS FOR A BETTER COMMONWEALTH","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",67.7698975571316,32.2301024428684,"#000057AF","#000057AF",126900
"11079","CITIZENS FOR A GROWING ECONOMY","Other/Single Issue Groups","Ideology/Single Issue","Other single-issue or ideological groups",31.25,68.75,"#610000AF","#610000AF",11200
"11100","CITIZENS WITH COMMON CENTS","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",45.2830188679245,54.7169811320755,"#1A0000AF","#1A0000AF",26500
"1116","GLAXOSMITHKLINE","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",52.3809523809524,47.6190476190476,"#00000AAF","#00000AAF",12600
"11273","COMMONWEALTH HERITAGE","Other/Single Issue Groups","Ideology/Single Issue","Other single-issue or ideological groups",100,0,"#0000FFAF","#0000FFAF",35000
"11450","CRISCI ASSOCIATES","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",44.408945686901,55.591054313099,"#1F0000AF","#1F0000AF",15650
"1147","GREENBERG TRAURIG LLP","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",50,50,"#000000AF","#000000AF",4000
"1149","GREENLEE PARTNERS","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",12.5806597203602,87.4193402796398,"#C20000AF","#C20000AF",63589.67
"11590","DEEM GUYS","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",73.7228959941198,26.2771040058802,"#000075AF","#000075AF",27210
"11591","DEEP BLUE","Leadership PACs","Candidate Contributions","PACs operated by Democratic members of Congress or prominent national Democrats",100,0,"#0000FFAF","#0000FFAF",2000
"11631","DEMOCRACY FUND","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",100,0,"#0000FFAF","#0000FFAF",63500
"11699","DICKEY MCCAMEY & CHILCOTE","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",2500
"11799","DUBLIN ASSOCIATES","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",96.4285714285714,3.57142857142857,"#0000EBAF","#0000EBAF",14000
"11816","DUQUESNE LIGHT CO","Electric Utilities","Energy & Natural Resources","Electric power utilities",58.8235294117647,41.1764705882353,"#000029AF","#000029AF",10200
"11914","EMBARQ CORP","Telecom Services & Equipment","Communications & Electronics","Telecommunications",0,100,"#FF0000AF","#FF0000AF",2330
"11937","ENERGY RESOURCES GROUP","Miscellaneous Energy","Energy & Natural Resources","Alternative energy production & services",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",1500
