"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"10724310","STEAMFITTERS LOCAL 601","General Trade Unions","Labor","Construction unions",71.7647058823529,28.2352941176471,"#00006BAF","#00006BAF",2125
"10733393","SPRINKLER FITTERS LOCAL 183","General Trade Unions","Labor","Construction unions",46.3917525773196,53.6082474226804,"#140000AF","#140000AF",4850
"1084","GENERAL ELECTRIC","Miscellaneous Finance, Insurance & Real Estate","Finance, Insurance & Real Estate","Finance, insurance & real estate",0,100,"#FF0000AF","#FF0000AF",1450
"11581","DEAN HEALTH SYSTEM","Hospitals & Nursing Homes","Health","Health care institutions",55.5555555555556,44.4444444444444,"#00001AAF","#00001AAF",2700
"1269570","INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES / IUPAT","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",7500
"132","AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",70.3389830508475,29.6610169491525,"#000066AF","#000066AF",5900
"1396","JOHN DEERE & CO","Agricultural Services & Products","Agriculture","Farm machinery & equipment",100,0,"#0000FFAF","#0000FFAF",1250
"1540","LIBERTY MUTUAL INSURANCE","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",58.3333333333333,41.6666666666667,"#000029AF","#000029AF",3000
"15813","WISCONSIN SCHOOL ADMINISTRATORS ALLIANCE","Public Sector Unions","Labor","State & local government employee unions",57.1428571428571,42.8571428571429,"#000024AF","#000024AF",5250
"16356","TAVERN LEAGUE OF WISCONSIN","Beer, Wine & Liquor","General Business","Alcohol",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",4500
"1641","MARSHALL & ILSLEY CORP","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",61.2903225806452,38.7096774193548,"#000038AF","#000038AF",775
"1692","MEDCO HEALTH SOLUTIONS","Retail Sales","General Business","Drug stores",0,100,"#FF0000AF","#FF0000AF",1500
"17184","WISCONSIN FEDERATION OF COOPERATIVES","Business Associations","General Business","General business associations",70,30,"#000066AF","#000066AF",2500
"17186","WISCONSIN PETROLEUM MARKETERS & CONVENIENCE STORE ASSOCIATION","Oil & Gas","Energy & Natural Resources","Petroleum refining & marketing",46.1538461538462,53.8461538461538,"#140000AF","#140000AF",1950
"17187","WISCONSIN PROFESSIONAL POLICE ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",2250
"17188","WISCONSIN PUBLIC SERVICE CORP","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",42.8571428571429,57.1428571428571,"#290000AF","#290000AF",3150
"18495","STATE SENATE DEMOCRATIC CMTE OF WISCONSIN","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",38394.56
"18819","MANAGED HEALTH SERVICES INSURANCE CORP","Health Services","Health","HMOs",62.5,37.5,"#00003DAF","#00003DAF",4000
"18823","PLANNED PARENTHOOD OF WISCONSIN","Health Services","Health","Health care services",100,0,"#0000FFAF","#0000FFAF",750
"18908","WISCONSIN HEALTH CARE ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",53.0612244897959,46.9387755102041,"#00000FAF","#00000FAF",2450
"1909","NORTHWESTERN MUTUAL LIFE INSURANCE","Insurance","Finance, Insurance & Real Estate","Life insurance",18.5185185185185,81.4814814814815,"#A30000AF","#A30000AF",1350
"19185","AFSCME WISCONSIN COUNCILS 40 & 48","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",2500
